"Step","Grouped runs - charts/mean_success_rate","Grouped runs - charts/mean_success_rate__MIN","Grouped runs - charts/mean_success_rate__MAX"
"399950","0.0085","0.0027999999999999995","0.0188"
"599950","0.0267","0.0184","0.0328"
"799950","0.032100000000000004","0.0264","0.0436"
"999950","0.04050000000000001","0.016","0.05720000000000001"
"1199950","0.0608","0.0584","0.0648"
"1399950","0.0843","0.053599999999999995","0.1032"
"1599950","0.0933","0.0652","0.11919999999999999"
"1799950","0.11810000000000001","0.102","0.134"
"1999950","0.1147","0.0928","0.1596"
"2199950","0.11130000000000001","0.08360000000000001","0.12480000000000001"
"2399950","0.14129999999999998","0.1152","0.17560000000000003"
"2599950","0.1349","0.11159999999999998","0.1692"
"2799950","0.1449","0.11840000000000002","0.18960000000000002"
"2999950","0.155","0.1432","0.18760000000000002"
"3199950","0.15960000000000002","0.12560000000000002","0.2036"
"3399950","0.1879","0.13440000000000002","0.22200000000000003"
"3599950","0.1703","0.142","0.20600000000000002"
"3799950","0.1952","0.16440000000000002","0.24200000000000002"
"3999950","0.18699999999999997","0.15639999999999998","0.21119999999999997"
"4199950","0.1881","0.1672","0.2156"
"4399950","0.2021","0.1948","0.2104"
"4599950","0.20040000000000002","0.1832","0.22520000000000004"
"4799950","0.2162","0.1912","0.2404"
"4999950","0.2393","0.2176","0.2696"
"5199950","0.23820000000000002","0.21240000000000003","0.2736"
"5399950","0.2317","0.214","0.2492"
"5599950","0.2471","0.2232","0.2612"
"5799950","0.25739999999999996","0.22599999999999998","0.27"
"5999950","0.2528","0.2352","0.268"
"6199950","0.2454","0.22039999999999998","0.2744"
"6399950","0.23940000000000003","0.22440000000000002","0.24960000000000002"
"6599950","0.2617","0.2428","0.2832"
"6799950","0.2733","0.23199999999999996","0.29"
"6999950","0.2767","0.26080000000000003","0.29879999999999995"
"7199950","0.27780000000000005","0.24480000000000002","0.3028"
"7399950","0.2905","0.2696","0.304"
"7599950","0.29429999999999995","0.26039999999999996","0.3112"
"7799950","0.3054","0.2896","0.32800000000000007"
"7999950","0.30679999999999996","0.27919999999999995","0.3292"
"8199950","0.31889999999999996","0.29719999999999996","0.34879999999999994"
"8399950","0.3206","0.30879999999999996","0.33319999999999994"
"8599950","0.3227","0.3084","0.35119999999999996"
"8799950","0.3238","0.3008","0.3484"
"8999950","0.3377","0.3144","0.36560000000000004"
"9199950","0.3402","0.3268000000000001","0.35600000000000004"
"9399950","0.3311","0.3096","0.3404"
"9599950","0.3254","0.3012","0.3528"
"9799950","0.33790000000000003","0.3104","0.3888"
"9999950","0.3502","0.3104","0.38880000000000003"
"10199950","0.3448","0.30400000000000005","0.3736"
"10399950","0.3737","0.3392","0.3972"
"10599950","0.3729","0.32280000000000003","0.39120000000000005"
"10799950","0.3696","0.3444","0.4012"
"10999950","0.3754","0.3464","0.4036"
"11199950","0.36390000000000006","0.3264","0.39280000000000004"
"11399950","0.376","0.34800000000000003","0.3936"
"11599950","0.38169999999999993","0.31999999999999995","0.42400000000000004"
"11799950","0.3854","0.33279999999999993","0.40759999999999996"
"11999950","0.3758","0.3496","0.4016"
"12199950","0.398","0.3664","0.4264"
"12399950","0.3863","0.3571999999999999","0.4068"
"12599950","0.39360000000000006","0.38360000000000005","0.4008"
"12799950","0.387","0.3468","0.41200000000000003"
"12999950","0.3865","0.3404","0.43"
"13199950","0.3887","0.34","0.418"
"13399950","0.3929","0.3472","0.4232"
"13599950","0.38849999999999996","0.35159999999999997","0.4319999999999999"
"13799950","0.3863","0.3532","0.4132"
"13999950","0.3944","0.374","0.42239999999999994"
"14199950","0.3885","0.3644","0.41359999999999997"
"14399950","0.403","0.39","0.424"
"14599950","0.39949999999999997","0.374","0.4267999999999999"
"14799950","0.3972","0.35","0.43200000000000005"
"14999950","0.4165","0.3927999999999999","0.4292"
"15199950","0.4087","0.3728","0.4348"
"15399950","0.4104","0.3704","0.452"
"15599950","0.4034","0.37560000000000004","0.41800000000000004"
"15799950","0.41","0.37720000000000004","0.43119999999999997"
"15999950","0.4129","0.3739999999999999","0.4328"
"16199950","0.41469999999999996","0.39559999999999995","0.4372"
"16399950","0.41209999999999997","0.38120000000000004","0.4404"
"16599950","0.4027","0.3804","0.444"
"16799950","0.4135","0.37640000000000007","0.43639999999999995"
"16999950","0.418","0.39159999999999995","0.4384"
"17199950","0.4115","0.36839999999999995","0.42879999999999996"
"17399950","0.42569999999999997","0.4164","0.43839999999999996"
"17599950","0.41000000000000003","0.386","0.42879999999999996"
"17799950","0.4113","0.3984","0.43200000000000005"
"17999950","0.4225","0.3908","0.4464"
"18199950","0.4211","0.4104","0.44959999999999994"
"18399950","0.4325","0.4128","0.446"
"18599950","0.42200000000000004","0.3972","0.45640000000000003"
"18799950","0.42729999999999996","0.40639999999999993","0.45199999999999996"
"18999950","0.4244","0.4164","0.43799999999999994"
"19199950","0.4255","0.4188","0.4316"
"19399950","0.4210999999999999","0.4004","0.43560000000000004"
"19599950","0.41700000000000004","0.4064","0.43040000000000006"
"19799950","0.4346","0.42719999999999997","0.4388"
"19999950","0.42200000000000004","0.41119999999999995","0.43760000000000004"
"20000001","0.4254","0.414","0.434"